ID,min_year,max_year
19829,2005,2016
19831,2005,2016
19832,2008,2016
19834,2011,2014
19835,2011,2014
19836,2011,2014
19837,2011,2014
19838,2011,2014
19842,2011,2014
19843,2011,2014
19844,2011,2014
19845,2005,2011
19847,1981,2015
19917,1975,1977
20030,2001,2015
20031,2014,2015
20032,1978,1990
20259,2008,2014
20260,1979,2015
20343,2002,2006
20344,2002,2006
20345,2002,2006
20416,1976,2015
20440,2006,2015
20441,2008,2015
20442,2001,2015
20443,1976,2015
21226,2000,2004
21227,2004,2005
21257,2010,2015
21258,2010,2015
21289,2010,2015
21310,2010,2015
21395,2006,2015
21396,2006,2015
21397,2008,2015
21398,2008,2015
21399,2001,2015
21677,2006,2015
21691,2006,2015
21692,2008,2015
21693,2001,2015
21694,1980,2015
21969,1976,2013
21970,2006,2010
21971,1994,2001
21972,2014,2015
22024,2002,2003
22031,1980,1985
22032,1983,1992
22033,1977,2012
22138,1981,1991
22420,2015,2016
22424,2015,2016
22427,2015,2016
22428,2015,2016
22429,2015,2016
22430,2015,2016
22905,1977,2014
22906,1977,2012
22920,2011,2014
22922,1993,2017
22923,1991,2009
22924,1991,2009
22925,1991,2009
22926,1991,2009
22927,1991,2009
22928,1991,2009
22929,1991,2009
22930,1991,2009
22932,1991,2009
22937,1991,2009
22938,1991,2009
22941,1991,2009
22942,1991,2009
22943,1991,2009
22964,2002,2012
22965,2002,2012
22966,2002,2012
22967,2002,2012
22969,1984,1994
22970,1984,1994
22971,1984,1994
22972,1984,1994
22974,1984,1994
22975,1984,1994
22983,1993,2001
22984,1993,2001
22985,1993,2001
22986,1993,2001
22987,1993,2001
22988,1993,2001
22989,1993,2001
22990,1993,2001
22991,1993,2001
22992,1993,2001
22993,1993,2001
22994,1993,2001
22995,1993,2001
23066,1992,2000
23067,1996,2000
23068,1992,2000
23069,1999,2000
23070,1997,2000
23071,1997,2000
23072,1995,2000
23073,1993,2000
23074,1998,2000
23078,1996,2010
23079,1996,1998
23142,1984,2011
23143,1984,2011
23144,1984,2011
23145,1984,2011
23148,1996,2011
23149,1984,2011
23152,2007,2009
23174,1994,2013
23268,2007,2013
23271,1989,2005
23272,1989,2005
23274,1989,2005
23275,1987,2017
23276,1987,2017
23278,1987,2017
25498,1993,2012
25499,2006,2013
25502,2006,2013
25505,2006,2013
25507,2006,2013
25587,1993,2017
25608,2003,2008
25609,1993,2008
25618,1998,2012
25664,2011,2017
26466,2003,2008
26470,2003,2008
26479,2003,2008
26480,2003,2008
26481,2003,2008
26482,2003,2008
26483,2003,2008
26484,2003,2008
26485,2003,2008
26495,2003,2008
26496,2003,2008
26498,2003,2008
26500,2003,2008
26512,2008,2013
26513,2011,2013
26514,2011,2013
26515,2008,2013
26516,2008,2013
26517,2011,2013
26518,2011,2013
26519,2011,2013
26520,2008,2013
26521,2008,2013
26522,2011,2012
26523,2011,2013
26524,2011,2013
26527,2008,2013
26528,2011,2013
26529,2011,2013
26530,2011,2013
26531,2008,2013
26532,2008,2013
26533,2011,2013
26534,2011,2013
26535,1999,2000
26536,2011,2013
26537,2008,2013
26538,1999,2000
26539,2009,2013
26540,2011,2013
26541,2011,2013
26542,2011,2013
26546,2008,2013
26547,2012,2013
26548,2011,2013
26549,2011,2013
26550,2011,2013
26553,2011,2013
26556,1992,1995
26557,2008,2013
26558,2011,2012
26560,2011,2013
26563,2011,2013
26564,2012,2013
26568,2011,2012
26570,2012,2013
26572,2008,2013
26573,2008,2013
26574,2009,2013
26575,2009,2013
26576,2009,2013
26577,2009,2013
26578,2008,2013
26579,2008,2013
26580,2009,2013
26581,2010,2013
26582,2012,2013
26583,2010,2012
26584,2011,2012
26587,2006,2007
26592,2006,2007
26593,2010,2013
26594,2009,2013
26595,2009,2013
26596,2008,2012
26597,2008,2013
26598,2009,2012
26599,2010,2012
26600,2009,2013
26601,2011,2013
26605,2009,2013
26606,2010,2013
26607,2009,2013
26608,2009,2010
26610,2009,2013
26611,2011,2013
26612,2009,2013
26613,2009,2013
26614,2009,2012
26615,2010,2013
26618,2009,2011
26620,2010,2012
26621,2009,2012
26622,2009,2013
26624,1992,2018
26627,2008,2016
26631,2008,2016
26636,1961,1975
26638,2008,2016
26639,2008,2016
26648,2002,2005
26649,2002,2005
26650,2002,2005
26652,2002,2005
26654,2002,2005
26656,2002,2005
26658,2002,2005
26666,2006,2012
26674,2006,2012
26680,2006,2009
26682,2006,2012
26699,2007,2009
26701,2007,2009
26702,2007,2009
26703,2007,2008
26717,2000,2016
26718,2000,2007
26719,2004,2008
26720,2005,2008
26721,1997,2007
26725,2000,2007
26727,2004,2008
26728,2005,2008
26731,1997,2007
26732,2000,2007
26735,1984,2014
26737,2006,2018
26738,2012,2018
26739,1998,2010
26740,1984,2008
26741,1994,2018
26742,1990,2018
26749,1994,2000
26750,1987,2000
26751,1994,2000
26752,1991,2000
26753,1987,2000
26754,1987,2000
26755,1991,2000
26756,1989,2000
26757,1994,2000
26764,1994,2000
26765,1992,2000
26766,1991,2000
26767,1989,2000
26768,1994,2000
26773,1987,2000
26774,1991,1999
26775,1994,2000
26776,2000,2007
26777,2004,2008
26778,2005,2008
26779,1997,2007
26780,2000,2007
26781,2004,2008
26782,2005,2008
26783,1997,2007
26785,2000,2007
26786,2004,2008
26787,2005,2008
26788,1997,2007
26793,2000,2007
26794,2003,2008
26795,2008,2013
26796,2008,2013
26797,2003,2008
26800,2003,2008
26801,2008,2013
26807,2008,2013
26808,2008,2013
26810,2004,2008
26811,2005,2008
26812,2000,2007
26813,2004,2008
26814,2005,2008
26815,1997,2007
26816,2000,2007
26817,2004,2008
26818,2005,2008
26819,1997,2007
26824,2008,2016
26828,1974,1975
