"ID","Binomial","Class","Latitude","Longitude","FW_realm","FW_biome","Units","n_datapoints","mean","median","min","max","sd","min_year","max_year","duration"
851,"Oncorhynchus_nerka","Actinopteri",52.06,-123.27,"Nearctic","Temperate coastal rivers","Individual fish",23,0.0198168965315574,0.020115567475953,-0.00329585654755071,0.0406329034351165,0.0156190343429634,1950,1993,43
852,"Oncorhynchus_nerka","Actinopteri",53.59,-123.32,"Nearctic","Temperate coastal rivers","Number of fish",24,0.030908809489482,0.0328909988643882,0.019559669817637,0.0362450772778109,0.00540845753508098,1950,1994,44
853,"Oncorhynchus_nerka","Actinopteri",52.28,-121.23,"Nearctic","Temperate coastal rivers","Number of fish",23,0.139887963220701,-0.540865832834003,-1.81565183846911,3.30597721467925,1.76759722245735,1950,1993,43
854,"Oncorhynchus_nerka","Actinopteri",53.59,-123.32,"Nearctic","Temperate coastal rivers","Number of fish",24,0.0250266138832664,0.0250266138836044,0.0250266138791297,0.0250266138861353,2.42706057196985e-12,1950,1994,44
855,"Oncorhynchus_nerka","Actinopteri",54.27,-125.27,"Nearctic","Temperate coastal rivers","Number of spawners",23,0.0310312897736829,0.0310312897737921,0.0310312897728684,0.0310312897744733,6.07677149894087e-13,1966,1993,27
856,"Oncorhynchus_nerka","Actinopteri",51.28,-127.25,"Nearctic","Temperate coastal rivers","Millions of fish",24,-0.00512760151383331,0.0148306008193079,-0.282503219663145,0.31119585308278,0.147677421668239,1950,1994,44
857,"Oncorhynchus_nerka","Actinopteri",51.19,-127.25,"Nearctic","Temperate coastal rivers","Thousands of fish",25,0.0019310637453931,0.00410391650467679,-0.0804636698890937,0.0558057955881757,0.0380207822223467,1951,1995,44
858,"Oncorhynchus_nerka","Actinopteri",54.03,-124.53,"Nearctic","Temperate coastal rivers","Number of fish",24,0.00853668897782382,0.00941655952574205,0.00382449087132564,0.0102885500476306,0.00206151060042887,1950,1994,44
859,"Oncorhynchus_nerka","Actinopteri",49.19,-121.53,"Nearctic","Temperate coastal rivers","Individual fish",22,0.0104557432552934,0.0079303572161358,-0.0420143907721009,0.0690821039314162,0.0437671575780921,1950,1992,42
860,"Oncorhynchus_nerka","Actinopteri",57.1,-154.35,"Nearctic","Temperate coastal rivers","Thousands of fish",24,0.0230434911825511,0.00051475799219247,-0.0321059427686989,0.111108357547722,0.0472346578094178,1966,1994,28
861,"Oncorhynchus_nerka","Actinopteri",56.29,-159,"Nearctic","Polar freshwaters","Millions of fish",23,0.00565014948632137,0.00421760803082638,0.00135082035472861,0.0153958297779608,0.00420441192577946,1950,1993,43
862,"Oncorhynchus_nerka","Actinopteri",58.11,-157.24,"Nearctic","Polar freshwaters","Thousands of fish",25,0.0151782004656952,0.0166777953683566,-0.0248232914509958,0.043550593267081,0.0189985274730947,1951,1995,44
863,"Oncorhynchus_nerka","Actinopteri",58.4,-158.5,"Nearctic","Polar freshwaters","Thousands of fish",25,0.00921304801194685,0.00921304801198275,0.00921304801123624,0.00921304801237843,3.6883165115728e-13,1952,1995,43
864,"Oncorhynchus_nerka","Actinopteri",60.21,-151.17,"Nearctic","Temperate coastal rivers","Millions of fish",23,0.0183274379469102,0.0247829564303228,-0.0268657505936131,0.0604094728663304,0.0333964774992244,1968,1993,25
