"","sci_name","Group"
"359","Pinoyscincus llanosi","Reptile"
"360","Platysternon megacephalum","Reptile"
"361","Podocnemis lewyana","Reptile"
"362","Potamites ecpleopus","Reptile"
"363","Proatheris superciliaris","Reptile"
"364","Psammodynastes pictus","Reptile"
"365","Psammophis lineatus","Reptile"
"366","Psammophis zambiensis","Reptile"
"367","Pseudagkistrodon rudis","Reptile"
"368","Pseudoeryx plicatilis","Reptile"
"369","Pseudoferania polylepis","Reptile"
"370","Pseudoxenodon bambusicola","Reptile"
"371","Pseudoxenodon karlschmidti","Reptile"
"372","Pseudoxyrhopus microps","Reptile"
"373","Ptychophis flavovirgatus","Reptile"
"374","Python molurus","Reptile"
"375","Python sebae","Reptile"
"376","Rafetus euphraticus","Reptile"
"377","Rafetus swinhoei","Reptile"
"378","Ranacephala hogei","Reptile"
"379","Regina grahamii","Reptile"
"380","Regina septemvittata","Reptile"
"381","Rhabdophis adleri","Reptile"
"382","Rhabdophis auriculatus","Reptile"
"383","Rhabdophis callistus","Reptile"
"384","Rhabdophis ceylonensis","Reptile"
"385","Rhabdophis chrysargos","Reptile"
"386","Rhabdophis confusus","Reptile"
"387","Rhabdophis conspicillatus","Reptile"
"388","Rhabdophis lineatus","Reptile"
"389","Rhabdophis nigrocinctus","Reptile"
"390","Rhabdophis plumbicolor","Reptile"
"391","Rhabdophis rhodomelas","Reptile"
"392","Rhabdophis subminiatus","Reptile"
"393","Rhabdophis tigrinus","Reptile"
"394","Rhabdops aquaticus","Reptile"
"395","Rhabdops olivaceus","Reptile"
"396","Rhinoclemmys diademata","Reptile"
"397","Sacalia quadriocellata","Reptile"
"398","Shinisaurus crocodilurus","Reptile"
"399","Sibynophis chinensis","Reptile"
"400","Siebenrockiella crassicollis","Reptile"
"401","Siebenrockiella leytensis","Reptile"
"402","Sistrurus miliarius","Reptile"
"403","Sordellina punctata","Reptile"
"404","Sphenomorphus incognitus","Reptile"
"405","Sphenomorphus maculatus","Reptile"
"406","Sphenomorphus sungaicolus","Reptile"
"407","Sternotherus depressus","Reptile"
"408","Subsessor bocourti","Reptile"
"409","Thamnophis atratus","Reptile"
